CO,NO2,Ozone,PM10,PM25,Datetime,Lat,Lon
191.93,0.39,94.41,51.34,17.07,"30/08/2023,20:47:07",27.6935,-113.7758
257.02,5.27,55.79,50.93,18.87,"30/08/2023,20:47:49",28.0121,76.1208
196.93,0.03,47.92,2.9,0.76,"30/08/2023,20:48:04",28.7056,-33.9175
440.6,1.26,37.19,44.75,40.72,"30/08/2023,20:47:01",28.8267,81.9632
198.6,0.31,103.0,35.28,11.82,"30/08/2023,20:47:36",28.9524,33.5858
330.45,0.62,88.69,7.9,7.22,"30/08/2023,20:47:14",29.4773,-88.474
206.95,0.2,34.69,6.07,1.94,"30/08/2023,20:48:43",29.7932,-53.1197
240.33,3.98,120.16,70.5,31.84,"30/08/2023,20:48:39",29.8992,53.1922
148.54,7.8,15.56,3.03,2.98,"30/08/2023,20:47:47",29.9974,99.2292
178.58,0.08,0.32,0.51,0.5,"30/08/2023,20:47:42",3.0011,-68.0419
156.88,0.01,34.33,3.81,1.57,"30/08/2023,20:47:21",3.1504,-173.145
257.02,0.01,13.41,4.41,3.41,"30/08/2023,20:47:02",3.5427,-121.6641
223.64,0.27,101.57,5.91,4.76,"30/08/2023,20:47:57",30.0841,-94.924
193.6,0.2,43.63,3.73,1.92,"30/08/2023,20:47:56",30.152,167.3341
453.95,12.85,52.21,111.31,40.28,"30/08/2023,20:47:49",30.6168,71.5765
243.66,0.2,48.64,30.46,9.27,"30/08/2023,20:47:35",31.0657,-69.1899
181.91,1.84,31.83,1.96,1.37,"30/08/2023,20:48:16",31.1482,93.8626
170.23,0.13,62.23,8.84,2.46,"30/08/2023,20:47:25",31.3491,-159.956
128.51,1.54,12.7,1.67,1.53,"30/08/2023,20:47:38",31.8834,131.1482
196.93,0.2,104.43,7.32,2.08,"30/08/2023,20:47:34",32.2871,-145.9917
183.58,0.14,63.66,3.3,1.06,"30/08/2023,20:47:35",32.4419,-37.8737
180.24,0.21,47.21,4.12,1.91,"30/08/2023,20:47:04",33.2217,-174.0459
267.03,6.17,205.99,38.9,20.91,"30/08/2023,20:47:50",33.4044,-112.036
150.2,0.2,51.5,5.78,2.36,"30/08/2023,20:48:26",33.9169,-156.411
257.02,0.54,114.44,11.94,11.58,"30/08/2023,20:48:29",35.019,-97.1261
111.82,0.17,62.94,22.71,4.07,"30/08/2023,20:48:01",35.0698,85.0063
180.24,0.11,62.94,4.86,2.03,"30/08/2023,20:48:30",35.3602,-45.8231
205.28,0.23,70.81,6.79,1.99,"30/08/2023,20:47:54",35.6875,-17.556
