,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
3041,United States of America,Titusville,93,Moderate,1,Good,93,Moderate,1,Good,27,Good,28.5727,-80.8193
3043,Japan,Togitsu,38,Good,1,Good,36,Good,7,Good,38,Good,32.8289,129.8486
3105,France,Dinard,45,Good,1,Good,30,Good,3,Good,45,Good,48.6325,-2.0617
3137,Croatia,Split,93,Moderate,1,Good,44,Good,0,Good,93,Moderate,43.51,16.44
3166,Philippines,Pulupandan,65,Moderate,1,Good,33,Good,2,Good,65,Moderate,10.5167,122.8
3200,Philippines,Pambujan,26,Good,0,Good,26,Good,0,Good,20,Good,12.5667,124.9333
3264,Mozambique,Maxixe,38,Good,1,Good,24,Good,0,Good,38,Good,-23.8667,35.35
3591,Australia,Runcorn,37,Good,1,Good,37,Good,1,Good,33,Good,53.3419,-2.7336
3621,Guinea-Bissau,Bissau,134,Unhealthy for Sensitive Groups,1,Good,24,Good,0,Good,134,Unhealthy for Sensitive Groups,11.85,-15.5667
3662,Bahrain,Sitrah,159,Unhealthy,1,Good,94,Moderate,2,Good,159,Unhealthy,26.12,50.65
3690,Japan,Kochi,84,Moderate,1,Good,25,Good,1,Good,84,Moderate,9.97,76.28
3780,Denmark,Frederikshavn,44,Good,0,Good,37,Good,1,Good,44,Good,57.441,10.534
3819,United States of America,Miami Beach,62,Moderate,1,Good,16,Good,10,Good,62,Moderate,25.8171,-80.1396
3847,United States of America,Newport News,44,Good,1,Good,44,Good,1,Good,43,Good,37.1051,-76.5185
3949,Japan,Nanao,39,Good,1,Good,39,Good,0,Good,19,Good,37.0431,136.9674
3994,Equatorial Guinea,Bata,60,Moderate,1,Good,26,Good,0,Good,60,Moderate,1.865,9.77
4001,Spain,Benidorm,37,Good,1,Good,37,Good,1,Good,25,Good,38.5342,-0.1314
4142,Italy,Ancona,80,Moderate,1,Good,68,Moderate,0,Good,80,Moderate,43.6169,13.5167
4167,Italy,Termini Imerese,57,Moderate,1,Good,48,Good,0,Good,57,Moderate,37.9833,13.7
4301,United States of America,Fort Myers,35,Good,0,Good,35,Good,0,Good,22,Good,26.6194,-81.8302
4433,Italy,Anzio,48,Good,1,Good,39,Good,6,Good,48,Good,41.4472,12.6283
4603,Philippines,Iloilo,48,Good,1,Good,21,Good,0,Good,48,Good,10.7167,122.5667
4735,United States of America,Marathon,56,Moderate,0,Good,30,Good,0,Good,56,Moderate,24.7263,-81.0374
4830,France,Martigues,37,Good,1,Good,35,Good,4,Good,37,Good,43.4053,5.0475
4915,United States of America,Campbellton,19,Good,1,Good,13,Good,2,Good,19,Good,48.005,-66.6731
4955,Portugal,Almada,44,Good,1,Good,38,Good,2,Good,44,Good,38.6803,-9.1583
4960,France,Antibes,56,Moderate,2,Good,19,Good,8,Good,56,Moderate,43.5808,7.1239
4961,Brazil,Antonina,31,Good,1,Good,11,Good,2,Good,31,Good,-25.4289,-48.7119
5016,Thailand,Si Racha,38,Good,0,Good,20,Good,0,Good,38,Good,13.174,100.93
5082,Italy,Sestri Levante,46,Good,1,Good,46,Good,2,Good,38,Good,44.2733,9.3932
5104,United States of America,North Myrtle Beach,50,Good,1,Good,39,Good,4,Good,50,Good,33.8232,-78.7082
5120,Indonesia,Meulaboh,55,Moderate,1,Good,18,Good,0,Good,55,Moderate,4.1333,96.1167
5189,Japan,Kaizuka,49,Good,1,Good,49,Good,0,Good,23,Good,34.4333,135.3667
5247,Portugal,Barreiro,36,Good,1,Good,36,Good,4,Good,17,Good,38.6667,-9.0667
5289,Papua New Guinea,Kavieng,65,Moderate,0,Good,19,Good,0,Good,65,Moderate,-2.5667,150.8
5293,Sweden,Landskrona,36,Good,0,Good,36,Good,0,Good,18,Good,55.8706,12.8311
5334,United Kingdom,Hull,59,Moderate,2,Good,20,Good,14,Good,59,Moderate,42.2861,-70.8835
5347,Philippines,Danao,67,Moderate,1,Good,21,Good,0,Good,67,Moderate,10.5333,123.9333
5348,Philippines,Danao,67,Moderate,1,Good,21,Good,0,Good,67,Moderate,10.0167,124.2667
5434,Japan,Hakodate,50,Good,1,Good,37,Good,1,Good,50,Good,41.7686,140.7289
5515,Russia,Pionerskiy,33,Good,0,Good,33,Good,0,Good,33,Good,54.9517,20.2333
